geometry,bio1,bio3,bio7,bio12
"(148.368407, -36.413914)",6.881583,42.268078,23.133,1544.0
"(148.394749, -36.284565)",6.1706977,41.119827,23.4645,1692.0
"(148.395621, -36.286016)",6.1706977,41.119827,23.4645,1692.0
"(148.31284, -36.444927)",7.8357186,41.597527,23.50275,1500.0
"(148.395543, -36.379661)",6.881583,42.268078,23.133,1544.0
"(148.320822, -36.418841)",7.8357186,41.597527,23.50275,1500.0
"(148.28231, -36.4522)",7.8357186,41.597527,23.50275,1500.0
"(148.39675, -36.381747)",6.881583,42.268078,23.133,1544.0
"(148.311216, -36.446576)",7.8357186,41.597527,23.50275,1500.0
"(148.311216, -36.446576)",7.8357186,41.597527,23.50275,1500.0
"(148.253748, -36.465619)",7.8357186,41.597527,23.50275,1500.0
"(148.459399, -36.00639)",6.928167,41.78015,23.69975,1647.0
"(148.336891, -36.428415)",6.881583,42.268078,23.133,1544.0
"(148.248473, -36.424117)",7.8357186,41.597527,23.50275,1500.0
"(148.253203, -36.514223)",8.001604,41.846535,22.85225,1368.0
"(148.310064, -36.448374)",7.8357186,41.597527,23.50275,1500.0
"(148.400611, -36.276726)",6.1706977,41.119827,23.4645,1692.0
"(148.28231, -36.4522)",7.8357186,41.597527,23.50275,1500.0
"(148.25911, -36.420355)",7.8357186,41.597527,23.50275,1500.0
"(148.459399, -36.00639)",6.928167,41.78015,23.69975,1647.0
"(148.352643, -36.413003)",6.881583,42.268078,23.133,1544.0
"(148.250869, -36.438525)",7.8357186,41.597527,23.50275,1500.0
"(148.352801, -36.415057)",6.881583,42.268078,23.133,1544.0
"(148.394749, -36.284565)",6.1706977,41.119827,23.4645,1692.0
"(148.274849, -36.457887)",7.8357186,41.597527,23.50275,1500.0
"(148.388484, -36.384566)",6.881583,42.268078,23.133,1544.0
"(148.388453, -36.384106)",6.881583,42.268078,23.133,1544.0
"(148.352784, -36.405096)",6.881583,42.268078,23.133,1544.0
"(148.378305, -36.413602)",6.881583,42.268078,23.133,1544.0
"(148.252345, -36.511617)",8.001604,41.846535,22.85225,1368.0
"(148.410977, -36.346595)",6.881583,42.268078,23.133,1544.0
"(148.368407, -36.413914)",6.881583,42.268078,23.133,1544.0
"(148.267601, -36.438348)",7.8357186,41.597527,23.50275,1500.0
"(148.368407, -36.413914)",6.881583,42.268078,23.133,1544.0
